title,address,description,price,contact,images
1 bedroom apartment for sale,"at Liverpool Views Apartment, Rose Place L3","Tenure: Leasehold,Call Now to Receive a Floor Plan and Info Pack","110,000", 0151 382 5871,"https://media.onthemarket.com/properties/15322230/1500466596/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322230/1500466596/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322230/1500466596/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322230/1500466596/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322230/1500466596/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322230/1500466596/image-4-480x320.jpg"
2 bedroom end of terrace house for sale,"Edward Street, Rusthall, Tunbridge Wells","Tenure: Freehold,End of Terrace,Project Property,2 Bedrooms","285,000", 01892 310740,"https://media.onthemarket.com/properties/15316285/1500340931/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316285/1500340931/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316285/1500340931/image-1-480x320.jpg,https://media.onthemarket.com/properties/15316285/1500340931/image-2-480x320.jpg,https://media.onthemarket.com/properties/15316285/1500340931/image-3-480x320.jpg,https://media.onthemarket.com/properties/15316285/1500340931/image-4-480x320.jpg"
3 bedroom semi-detached house for sale,"The Marsh, Longbridge Deverill, Longbridge Deverill, BA12","Tenure: Freehold,Semi Detached,Kitchen/family room,Lounge with woodburner","340,000", 01985 206963,"https://media.onthemarket.com/properties/15316062/1500338852/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316062/1500338852/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316062/1500338852/image-1-480x320.jpg,https://media.onthemarket.com/properties/15316062/1500338852/image-2-480x320.jpg,https://media.onthemarket.com/properties/15316062/1500338852/image-3-480x320.jpg,https://media.onthemarket.com/properties/15316062/1500338852/image-4-480x320.jpg"
3 bedroom semi-detached house for sale,"Ormesby Road, Caister-on-Sea","Tenure: Freehold,Driveway,West Facing Garden,Ground Floor WC","210,000", 01493 288941,"https://media.onthemarket.com/properties/15316061/1500338846/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316061/1500338846/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316061/1500338846/image-1-480x320.jpg,https://media.onthemarket.com/properties/15316061/1500338846/image-2-480x320.jpg,https://media.onthemarket.com/properties/15316061/1500338846/image-3-480x320.jpg,https://media.onthemarket.com/properties/15316061/1500338846/image-4-480x320.jpg"
2 bedroom apartment for sale,"Goldsmiths House, The Nurseries, Leyburn, North Yorkshire, DL8","Tenure: Leasehold,Well Presented Ground Floor Apartment In Popular Location,5 Minutes From Town Centre,2 Double Bedrooms","195,000", 01969 738985,"https://media.onthemarket.com/properties/15316050/1500338796/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316050/1500338796/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316050/1500338796/image-1-480x320.jpg,https://media.onthemarket.com/properties/15316050/1500338796/image-2-480x320.jpg,https://media.onthemarket.com/properties/15316050/1500338796/image-3-480x320.jpg,https://media.onthemarket.com/properties/15316050/1500338796/image-4-480x320.jpg"
4 bedroom detached house for sale,"Holford, Bridgwater, Somerset, TA5","Tenure: Freehold,Detached,Private Parking,Close Proximity to The Quantock Hills","360,000", 01984 561990,"https://media.onthemarket.com/properties/15316046/1500338786/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316046/1500338786/image-0-480x320.jpg,https://media.onthemarket.com/properties/15316046/1500338786/image-1-480x320.jpg,https://media.onthemarket.com/properties/15316046/1500338786/image-2-480x320.jpg,https://media.onthemarket.com/properties/15316046/1500338786/image-3-480x320.jpg,https://media.onthemarket.com/properties/15316046/1500338786/image-4-480x320.jpg"
4 bedroom detached house for sale,"Countryside Way, Rotherham","Tenure: Freehold,Four bedrooms,Detached house,Finished to an excellent standard","340,000", 01709 619794,"https://media.onthemarket.com/properties/15315650/1500335819/image-0-480x320.jpg,https://media.onthemarket.com/properties/15315650/1500335819/image-0-480x320.jpg,https://media.onthemarket.com/properties/15315650/1500335819/image-1-480x320.jpg,https://media.onthemarket.com/properties/15315650/1500335819/image-2-480x320.jpg,https://media.onthemarket.com/properties/15315650/1500346206/image-3-480x320.jpg,https://media.onthemarket.com/properties/15315650/1500335819/image-4-480x320.jpg"
3 bedroom terraced house for sale,Stoke-On-Trent ST1 5,"Tenure: Freehold,*NOT INSPECTED BY AUCTIONEER*,TENANTS IN SITU,MID TERRACED PROPERTY","62,000", 01782 966801,"https://media.onthemarket.com/properties/15315601/1500341647/image-0-480x320.jpg,https://media.onthemarket.com/properties/15315601/1500341647/image-0-480x320.jpg,https://media.onthemarket.com/properties/15315601/1500341647/image-1-480x320.jpg,https://media.onthemarket.com/properties/15315601/1500341647/image-2-480x320.jpg,https://media.onthemarket.com/properties/15315601/1500341647/image-3-480x320.jpg,https://media.onthemarket.com/properties/15315601/1500341647/image-4-480x320.jpg"
2 bedroom semi-detached house for sale,"St Stephen, Near St. Austell","Two bedrooms,Open plan kitchen/living room,Bathroom with white suite,Parking","189,000", 01872 395947,"https://media.onthemarket.com/properties/12596592/1498931702/image-0-480x320.jpg,https://media.onthemarket.com/properties/12596592/1498931702/image-0-480x320.jpg,https://media.onthemarket.com/properties/12596592/1498931702/image-1-480x320.jpg,https://media.onthemarket.com/properties/12596592/1498931702/image-2-480x320.jpg,https://media.onthemarket.com/properties/12596592/1498931702/image-3-480x320.jpg,https://media.onthemarket.com/properties/12596592/1498931702/image-4-480x320.jpg"
3 bedroom semi-detached house for sale,"Whitehouse Avenue, Wednesbury","SEMI DETACHED FAMILY HOME,THREE GOOD SIZED BEDROOMS,SPACIOUS THROUGH LOUNGE,HIGHLY DEMANDED LOCATION","240,000", 01206 915966,"https://media.onthemarket.com/properties/15317622/1500356937/image-0-480x320.jpg,https://media.onthemarket.com/properties/15317622/1500356937/image-0-480x320.jpg,https://media.onthemarket.com/properties/15317622/1500356937/image-1-480x320.jpg,https://media.onthemarket.com/properties/15317622/1500356937/image-2-480x320.jpg,https://media.onthemarket.com/properties/15317622/1500356937/image-3-480x320.jpg,https://media.onthemarket.com/properties/15317622/1500356937/image-4-480x320.jpg"
2 bedroom apartment for sale,"Ley Road, Bognor Regis","727 sq ft floor area,Nearest station 1.4mi.,Nearest school 0.5mi.","259,950", 01243 273813,"https://media.onthemarket.com/properties/15317587/1500356655/image-0-480x320.jpg,https://media.onthemarket.com/properties/15317587/1500356655/image-0-480x320.jpg,https://media.onthemarket.com/properties/15317587/1500356655/image-1-480x320.jpg,https://media.onthemarket.com/properties/15317587/1500356655/image-2-480x320.jpg,https://media.onthemarket.com/properties/15317587/1500356655/image-3-480x320.jpg,https://media.onthemarket.com/properties/15317587/1500356655/image-4-480x320.jpg"
1 bedroom flat for sale,"Crowden Way, North Thamesmead","2nd Floor Flat,Cash Buyers Only,One Double Bedroom,Garage","140,000", 020 8022 7096,"https://media.onthemarket.com/properties/15317555/1500356091/image-0-480x320.jpg,https://media.onthemarket.com/properties/15317555/1500356091/image-0-480x320.jpg,https://media.onthemarket.com/properties/15317555/1500356091/image-1-480x320.jpg,https://media.onthemarket.com/properties/15317555/1500356091/image-2-480x320.jpg,https://media.onthemarket.com/properties/15317555/1500356091/image-3-480x320.jpg,https://media.onthemarket.com/properties/15317555/1500356091/image-4-480x320.jpg"
2 bedroom detached bungalow for sale,"Denton Road, Burton-on-Trent","Semi-Detached Family Home,Internal Garage & Driveway for off road parking,Popular location, close to Burton Hospital,Generous sized rear garden","210,000", 01283 328815,"https://media.onthemarket.com/properties/15317547/1500355970/image-0-480x320.jpg,https://media.onthemarket.com/properties/15317547/1500355970/image-0-480x320.jpg,https://media.onthemarket.com/properties/15317547/1500355970/image-1-480x320.jpg,https://media.onthemarket.com/properties/15317547/1500355970/image-2-480x320.jpg,https://media.onthemarket.com/properties/15317547/1500355970/image-3-480x320.jpg,https://media.onthemarket.com/properties/15317547/1500355970/image-4-480x320.jpg"
3 bedroom semi-detached house for sale,"The Grove, Biggin Hill","Tenure: Freehold,THREE BEDROOMS,SEMI DETACHED,OFF STREET PARKING","450,000", 01959 458966,"https://media.onthemarket.com/properties/15320779/1500442973/image-0-480x320.jpg,https://media.onthemarket.com/properties/15320779/1500442973/image-0-480x320.jpg,https://media.onthemarket.com/properties/15320779/1500442973/image-1-480x320.jpg,https://media.onthemarket.com/properties/15320779/1500442973/image-2-480x320.jpg,https://media.onthemarket.com/properties/15320779/1500442973/image-3-480x320.jpg,https://media.onthemarket.com/properties/15320779/1500442973/image-4-480x320.jpg"
4 bedroom detached house for sale,"Langton House, Slawston, Market Harborough","Generous plot with mature front & rear gardens,Detached village home,Entrance Hall & WC,Dining room & Sitting room","700,000", 01858 513926,"https://media.onthemarket.com/properties/15320214/1500406731/image-0-480x320.jpg,https://media.onthemarket.com/properties/15320214/1500406731/image-0-480x320.jpg,https://media.onthemarket.com/properties/15320214/1500406731/image-1-480x320.jpg,https://media.onthemarket.com/properties/15320214/1500406731/image-2-480x320.jpg,https://media.onthemarket.com/properties/15320214/1500406731/image-3-480x320.jpg,https://media.onthemarket.com/properties/15320214/1500406731/image-4-480x320.jpg"
3 bedroom semi-detached house for sale,"Hull Bridge Road, Beverley","Prime location,Close to town centre and Westwood,Three bedroom semi,Approx 920 square feet","299,950", 01482 763945,"https://media.onthemarket.com/properties/15320185/1500405888/image-0-480x320.jpg,https://media.onthemarket.com/properties/15320185/1500405888/image-0-480x320.jpg,https://media.onthemarket.com/properties/15320185/1500405888/image-1-480x320.jpg,https://media.onthemarket.com/properties/15320185/1500405888/image-2-480x320.jpg,https://media.onthemarket.com/properties/15320185/1500405888/image-3-480x320.jpg,https://media.onthemarket.com/properties/15320185/1500405888/image-4-480x320.jpg"
2 bedroom flat for sale,"Catherine Wheel Road, Brentford TW8","Tenure: Leasehold,Brushed Brass Finish Bathroom: Adds an elegant touch to the apartment.,Parking Available (Subject to Availability): Convenient for residents with vehicles.,Concierge and Lift Access: Ensures ease of living.","652,000", 020 3641 3807,"https://media.onthemarket.com/properties/15320003/1500402924/image-0-480x320.jpg,https://media.onthemarket.com/properties/15320003/1500402924/image-0-480x320.jpg,https://media.onthemarket.com/properties/15320003/1500402924/image-1-480x320.jpg,https://media.onthemarket.com/properties/15320003/1500402924/image-2-480x320.jpg,https://media.onthemarket.com/properties/15320003/1500402924/image-3-480x320.jpeg,https://media.onthemarket.com/properties/15320003/1500402924/image-4-480x320.jpg"
4 bedroom semi-detached house for sale,"Kinfauns Road, London SW2","Tenure: Freehold,Large Reception room,Spacious 4 bedroom house,Delightful Private Garden","670,000", 020 3641 3807,"https://media.onthemarket.com/properties/15320000/1500402835/image-0-480x320.jpg,https://media.onthemarket.com/properties/15320000/1500402835/image-0-480x320.jpg,https://media.onthemarket.com/properties/15320000/1500402835/image-1-480x320.jpg,https://media.onthemarket.com/properties/15320000/1500402835/image-2-480x320.jpg,https://media.onthemarket.com/properties/15320000/1500402835/image-3-480x320.jpg,https://media.onthemarket.com/properties/15320000/1500402835/image-4-480x320.jpg"
3 bedroom apartment for sale,"Coleridge Road, Croydon CR0","Tenure: Leasehold,Balcony,Central heating,Double glazing","42,995", 020 3641 3807,"https://media.onthemarket.com/properties/15319999/1500402818/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319999/1500402818/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319999/1500402818/image-1-480x320.jpg,https://media.onthemarket.com/properties/15319999/1500402818/image-2-480x320.jpg,https://media.onthemarket.com/properties/15319999/1500402818/image-3-480x320.jpg,https://media.onthemarket.com/properties/15319999/1500402818/image-4-480x320.jpg"
3 bedroom terraced house for sale,"Jersey Terrace, Port Tennant, Swansea","Mid Terrace Property,Three Bedrooms,Utility Room,First Floor Bathroom","160,000", 01792 925787,"https://media.onthemarket.com/properties/15319888/1500400987/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319888/1500400987/image-0-480x320.jpg,https://media.onthemarket.com/properties/15319888/1500400987/image-1-480x320.jpg,https://media.onthemarket.com/properties/15319888/1500400987/image-2-480x320.jpg,https://media.onthemarket.com/properties/15319888/1500400987/image-3-480x320.jpg,https://media.onthemarket.com/properties/15319888/1500400987/image-4-480x320.jpg"
3 bedroom house for sale,3 Bedroom Semi-Detached House – Cheadle,"Tenure: Freehold,Ref; AAH03_Sales,Great residential area,Excellent transport links","360,000", 0161 506 8624,"https://media.onthemarket.com/properties/15305096/1500168675/image-0-480x320.jpg,https://media.onthemarket.com/properties/15305096/1500168675/image-0-480x320.jpg,https://media.onthemarket.com/properties/15305096/1500168675/image-1-480x320.jpg,https://media.onthemarket.com/properties/15305096/1500168675/image-2-480x320.jpg,https://media.onthemarket.com/properties/15305096/1500168675/image-3-480x320.jpg,https://media.onthemarket.com/properties/15305096/1500168675/image-4-480x320.jpg"
2 bedroom flat for sale,"Highgate High Street,  London,  N6,  N6","Tenure: Leasehold (126 years remaining),Leasehold Term 150 years from 10/06/2000,Two bedroom apartment,Duplex apartment","800,000", 020 3641 9384,"https://media.onthemarket.com/properties/15305003/1500167949/image-0-480x320.jpg,https://media.onthemarket.com/properties/15305003/1500167949/image-0-480x320.jpg,https://media.onthemarket.com/properties/15305003/1500167949/epc-graph-0-480x320.jpg"
2 bedroom terraced house for sale,"Mason Street, Horwich, Bolton","Tenure: Leasehold,1,033 sq ft floor area,Nearest station 0.8mi.,Nearest school 0.2mi.","90,000", 01204 317679,"https://media.onthemarket.com/properties/15303868/1500156937/image-0-480x320.jpg,https://media.onthemarket.com/properties/15303868/1500156937/image-0-480x320.jpg,https://media.onthemarket.com/properties/15303868/1500156937/image-1-480x320.jpg,https://media.onthemarket.com/properties/15303868/1500156937/image-2-480x320.jpg,https://media.onthemarket.com/properties/15303868/1500156937/image-3-480x320.jpg,https://media.onthemarket.com/properties/15303868/1500156937/image-4-480x320.jpg"
2 bedroom detached bungalow for sale,"Hudson Crescent, Leigh-on-Sea SS9","Tenure: Freehold,No Onward Chain,Double Glazed,Spacious","440,000", 01702 787620,"https://media.onthemarket.com/properties/15290314/1500096926/image-0-480x320.jpg,https://media.onthemarket.com/properties/15290314/1500096926/image-0-480x320.jpg,https://media.onthemarket.com/properties/15290314/1500096926/image-1-480x320.jpg,https://media.onthemarket.com/properties/15290314/1500096926/image-2-480x320.jpg,https://media.onthemarket.com/properties/15290314/1500096926/image-3-480x320.jpg,https://media.onthemarket.com/properties/15290314/1500096926/image-4-480x320.jpg"
Land for sale,"Croydon Barn Lane, Horne, Surrey","54.70 acre(s) of land,Nearest station 2.7mi.,Nearest school 1.9mi.","750,000", 01483 665893,"https://media.onthemarket.com/properties/15303591/1500154999/image-0-480x320.jpg,https://media.onthemarket.com/properties/15303591/1500154999/image-0-480x320.jpg,https://media.onthemarket.com/properties/15303591/1500154999/image-1-480x320.jpg,https://media.onthemarket.com/properties/15303591/1500154999/image-2-480x320.jpg,https://media.onthemarket.com/properties/15303591/1500154999/image-3-480x320.jpg"
2 bedroom end of terrace house for sale,Ponder End,"Tenure: Freehold,Garden,Open Plan Lounge,Full Double Glazing","385,000", 020 3641 9511,"https://media.onthemarket.com/properties/15303554/1500154817/image-0-480x320.jpg,https://media.onthemarket.com/properties/15303554/1500154817/image-0-480x320.jpg,https://media.onthemarket.com/properties/15303554/1500154817/image-1-480x320.jpg,https://media.onthemarket.com/properties/15303554/1500154817/image-2-480x320.jpg,https://media.onthemarket.com/properties/15303554/1500154817/image-3-480x320.jpg,https://media.onthemarket.com/properties/15303554/1500154817/image-4-480x320.jpg"
2 bedroom flat for sale,"Feltham,  Middlesex,  TW13","Tenure: Leasehold (111 years remaining),Leasehold Term 125 years from 01/01/2010,2 bedroom,Large reception room","220,000", 01932 379366,"https://media.onthemarket.com/properties/15302777/1500148690/image-0-480x320.jpg,https://media.onthemarket.com/properties/15302777/1500148690/image-0-480x320.jpg,https://media.onthemarket.com/properties/15302777/1500148690/epc-graph-0-480x320.jpg"
2 bedroom flat for sale,"Scotland Street, Edinburgh EH3","Tenure: Freehold,Nearest station 0.3mi.","700,000", 0131 268 2595,"https://media.onthemarket.com/properties/15322227/1500466551/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322227/1500466551/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322227/1500466551/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322227/1500466551/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322227/1500466551/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322227/1500466551/image-4-480x320.jpg"
2 bedroom apartment for sale,"at Angel Street Apartments, Adelphi Street M4","Tenure: Leasehold,Completed 1 and 2-Bed Apartments ","324,995", 0161 506 1466,"https://media.onthemarket.com/properties/15322226/1500466496/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322226/1500466496/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322226/1500466496/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322226/1500466496/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322226/1500466496/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322226/1500466496/image-4-480x320.jpg"
1 bedroom apartment for sale,"at Poet's Place, Great Homer Street L5","Tenure: Leasehold,Call Today to Receive a Floor Plan","120,000", 0151 382 2991,"https://media.onthemarket.com/properties/15322225/1500466486/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322225/1500466486/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322225/1500466486/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322225/1500466486/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322225/1500466486/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322225/1500466486/image-4-480x320.jpg"
2 bedroom terraced house for sale,"Willow Vale, Frome, BA11","Tenure: Freehold,Two bedroom","350,000", 01373 316941,"https://media.onthemarket.com/properties/15208148/1498411934/image-0-480x320.jpg,https://media.onthemarket.com/properties/15208148/1498411934/image-0-480x320.jpg,https://media.onthemarket.com/properties/15208148/1498411934/image-1-480x320.jpg,https://media.onthemarket.com/properties/15208148/1498411934/image-2-480x320.jpg,https://media.onthemarket.com/properties/15208148/1498411934/image-3-480x320.jpg,https://media.onthemarket.com/properties/15208148/1498411934/image-4-480x320.jpg"
1 bedroom apartment for sale,"at Rice Works, Liverpool Short Stay Rentals, Park Lane, L1","Tenure: Leasehold,•	Luxury Serviced Properties","220,000", 0151 382 6519,"https://media.onthemarket.com/properties/15322220/1500466398/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322220/1500466398/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322220/1500466398/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322220/1500466398/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322220/1500466398/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322220/1500466398/image-4-480x320.jpg"
Studio for sale,"at Wolstenholme Square, 1 Wolstenholme Square L1","Tenure: Leasehold,Call Today to Receive a Floor Plan","120,000", 0151 382 7638,"https://media.onthemarket.com/properties/15322215/1500466356/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322215/1500466356/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322215/1500466356/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322215/1500466356/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322215/1500466356/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322215/1500466356/image-4-480x320.jpg"
1 bedroom apartment for sale,"at Luton Buy To Let, Adelaide Street LU1","Tenure: Leasehold,Premium Residential Apartments","130,000", 01582 936449,"https://media.onthemarket.com/properties/15322209/1500466274/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322209/1500466274/image-0-480x320.jpg,https://media.onthemarket.com/properties/15322209/1500466274/image-1-480x320.jpg,https://media.onthemarket.com/properties/15322209/1500466274/image-2-480x320.jpg,https://media.onthemarket.com/properties/15322209/1500466274/image-3-480x320.jpg,https://media.onthemarket.com/properties/15322209/1500466274/image-4-480x320.jpg"
3 bedroom semi-detached house for sale,"Dorset Way, Billericay","Tenure: Freehold,3 Bed Semi with refitted Kitchen and Bathroom, enjoying a quiet and delightful setting,0.9 mile to Billericay Railway Station (London Liverpool Street in 35 minutes),Catchment for Buttsbury Infants & Junior Schools, the Infants with an Outstanding OFSTED Report","425,000", 01277 298675,"https://media.onthemarket.com/properties/15315340/1500334110/image-0-480x320.jpg,https://media.onthemarket.com/properties/15315340/1500334110/image-0-480x320.jpg,https://media.onthemarket.com/properties/15315340/1500334110/image-1-480x320.jpg,https://media.onthemarket.com/properties/15315340/1500334110/image-2-480x320.jpg,https://media.onthemarket.com/properties/15315340/1500334110/image-3-480x320.jpg,https://media.onthemarket.com/properties/15315340/1500334110/image-4-480x320.jpg"
4 bedroom semi-detached house for sale,"Mayesbrook Road, Essex","Tenure: Freehold,Four/Five Bedrooms,Large Conservatory,Overlooking Goodmayes Recreational Park","500,000", 020 8022 6732,"https://media.onthemarket.com/properties/15315326/1500333963/image-0-480x320.jpg,https://media.onthemarket.com/properties/15315326/1500333963/image-0-480x320.jpg,https://media.onthemarket.com/properties/15315326/1500333963/image-1-480x320.jpg,https://media.onthemarket.com/properties/15315326/1500333963/image-2-480x320.jpg,https://media.onthemarket.com/properties/15315326/1500333963/image-3-480x320.jpg,https://media.onthemarket.com/properties/15315326/1500333963/image-4-480x320.jpg"
2 bedroom terraced house for sale,"Nelson Street, Stoke-On-Trent","Tenure: Freehold,Great First Time Buy or Investment!,Great Location,Two Reception Rooms","80,000", 01782 966911,"https://media.onthemarket.com/properties/15315259/1500333299/image-0-480x320.jpg,https://media.onthemarket.com/properties/15315259/1500333299/image-0-480x320.jpg,https://media.onthemarket.com/properties/15315259/1500333299/image-1-480x320.jpg,https://media.onthemarket.com/properties/15315259/1500333299/image-2-480x320.jpg,https://media.onthemarket.com/properties/15315259/1500333299/image-3-480x320.jpg,https://media.onthemarket.com/properties/15315259/1500333299/image-4-480x320.jpg"
